pubchem_id,iupac_name,common_name,smile,molecular_weight,num_h_donors,num_h_acceptors,num_rotatablebonds,complexity,topological_polor_surfacearea,monoisotopic_mass,exact_mass,xlogp3,formal_charge,heavy_atom_count,defined_atom_stereocenter_count,undefined_atom_stereocenter_count,defined_bond_stereocenter_count,undefined_bond_stereocenter_count,isotope_atom_count,covalently_bonded_unit_count,cas_id,fema_number,fema_flavor_profile,odor,taste,functional_groups
4,1-aminopropan-2-ol,1-aminopropan-2-ol,CC(CN)O,75.111,2,2,1,22.9,46.2,75.068,75.068,-1,0,5,0,1,0,0,0,1,2799-16-8@2799-17-9@78-96-6,3965,Not Available,slight ammonia odor,not available,"hydroxy compound@alcohol@secondary alcohol@1,2-aminoalcohol@amine@primary amine@primary aliphatic amine (alkylamine)"
47,3-methyl-2-oxopentanoic acid,3-methyl-2-oxovaleric acid,CCC(C)C(=O)C(=O)O,130.143,1,3,3,128,54.4,130.063,130.063,1.1,0,9,0,1,0,0,0,1,1460-34-0@39748-49-7,3870,Fruit,not available,not available,carbonyl compound@ketone@carboxylic acid derivative@carboxylic acid
49,3-methyl-2-oxobutanoic acid,3-methyl-2-oxobutanoic acid,CC(C)C(=O)C(=O)O,116.116,1,3,2,115,54.4,116.047,116.047,0.7,0,8,0,0,0,0,0,1,0759-05-07,3869,Not Available,not available,not available,carbonyl compound@ketone@carboxylic acid derivative@carboxylic acid
51,2-oxopentanedioic acid,2-ketoglutaric acid,C(CC(=O)O)C(=O)C(=O)O,146.098,2,5,4,171,91.7,146.022,146.022,-0.9,0,10,0,0,0,0,0,1,17091-15-5@328-50-7@34410-46-3@997-43-3,3891,Not Available,not available,not available,carbonyl compound@ketone@carboxylic acid derivative@carboxylic acid
58,2-oxobutanoic acid,2-oxobutanoic acid,CCC(=O)C(=O)O,102.089,1,3,2,95.1,54.4,102.032,102.032,0.1,0,7,0,0,0,0,0,1,600-18-0,3723,Savory,not available,not available,carbonyl compound@ketone@carboxylic acid derivative@carboxylic acid
70,4-methyl-2-oxopentanoic acid,4-methyl-2-oxovaleric acid,CC(C)CC(=O)C(=O)O,130.143,1,3,3,126,54.4,130.063,130.063,0.9,0,9,0,0,0,0,0,1,816-66-0,3871,Fruit,not available,not available,carbonyl compound@ketone@carboxylic acid derivative@carboxylic acid
107,3-phenylpropanoic acid,3-phenylpropionic acid,C1=CC=C(C=C1)CCC(=O)O,150.177,1,2,3,126,37.3,150.068,150.068,1.8,0,11,0,0,0,0,0,1,501-52-0,2889,Not Available,not available,not available,carboxylic acid derivative@carboxylic acid@aromatic compound
119,4-aminobutanoic acid,4-aminobutyric acid,C(CC(=O)O)CN,103.121,2,3,3,62.7,63.3,103.063,103.063,-3.2,0,7,0,0,0,0,0,1,56-12-2,4288,Savory,not available,not available,amine@primary amine@primary aliphatic amine (alkylamine)@carboxylic acid derivative@carboxylic acid
125,4-(hydroxymethyl)phenol,4-hydroxybenzyl alcohol,C1=CC(=CC=C1CO)O,124.139,2,2,1,75,40.5,124.052,124.052,0.2,0,9,0,0,0,0,0,1,0623-05-02,3987,Nuts,not available,not available,hydroxy compound@alcohol@primary alcohol@phenol or hydroxyhetarene@aromatic compound
126,4-hydroxybenzaldehyde,4-hydroxybenzaldehyde,C1=CC(=CC=C1C=O)O,122.123,1,2,1,93.1,37.3,122.037,122.037,1.4,0,9,0,0,0,0,0,1,123-08-0@26099-71-8@65581-83-1,3984,Roast,not available,not available,carbonyl compound@aldehyde@hydroxy compound@phenol or hydroxyhetarene@aromatic compound
