Recipe Id,Aliased Ingredient_ID
R000001,1008
R000001,1132
R000001,579
R000001,439
R000001,663
R000001,7
R000001,164
R000001,1338
R000001,298
R000001,136
R000001,663
R000001,579
R000001,663
R000001,1240
R000001,724
R000001,1267
R000002,7
R000002,1338
R000002,759
R000002,1447
R000002,136
R000002,1114
R000002,663
R000002,1586
R000002,1586
R000002,663
R000002,579
R000003,385
R000003,298
R000003,396
R000003,7
R000003,248
R000003,1447
R000004,1237
R000004,1586
R000004,1447
R000004,1586
R000004,298
R000004,385
R000004,663
R000004,7
R000005,385
R000005,1179
R000005,7
R000005,1588
R000005,1589
R000005,396
R000005,848
R000006,298
R000006,1179
R000006,1140
R000006,7
R000006,525
R000006,NaN
R000006,7
R000006,396
R000006,1590
R000007,1179
R000007,396
R000007,248
R000007,848
R000008,724
R000008,298
R000008,396
R000008,164
R000008,918
R000009,298
R000009,918
R000009,164
R000009,396
R000009,298
R000009,1120
R000009,848
R000009,203
R000009,1179
R000009,1132
R000009,18
R000009,18
R0000010,105
R0000010,396
R0000010,298
R0000010,1530
R0000010,848
R0000010,1257
R0000010,1356
R0000011,1179
R0000011,166
R0000011,396
R0000011,848
R0000011,1586
R0000012,1197
R0000012,164
R0000012,205
R0000012,1216
R0000012,1591
R0000012,1586
R0000012,1356
R0000012,1594
R0000012,466
R0000012,1257
R0000012,1008
R0000013,1179
R0000013,396
R0000013,298
R0000013,203
R0000013,848
R0000014,1587
R0000014,466
R0000014,1447
R0000014,1216
R0000014,1593
R0000014,116
R0000014,105
R0000014,1179
R0000014,385
R0000014,298
R0000014,525
R0000014,1582
R0000015,918
R0000015,136
R0000015,466
R0000015,1582
R0000015,1428
R0000015,1240
R0000015,759
R0000015,663
R0000015,105
R0000016,105
R0000016,385
R0000016,298
R0000016,136
R0000016,7
R0000016,466
R0000016,248
R0000016,1088
R0000016,1586
R0000016,248
R0000016,105
R0000016,136
R0000016,1356
R0000016,848
R0000017,1586
R0000017,248
R0000017,385
R0000017,7
R0000017,1356
R0000017,848
R0000018,717
R0000018,724
R0000018,1567
R0000020,848
R0000020,1586
R0000020,1447
R0000020,1594
R0000020,7
R0000020,1577
R0000020,1356
R0000020,663
R0000020,1338
R0000020,1589
R0000020,1179
R0000020,105
R0000020,848
R0000020,1544
R0000021,396
R0000021,1179
R0000021,298
R0000021,64
R0000021,407
R0000021,724
R0000021,1257
R0000021,1132
R0000021,46
R0000022,1240
R0000022,1114
R0000022,1080
R0000022,1447
R0000022,663
R0000022,1012
R0000022,1593
R0000022,1140
R0000022,164
R0000022,439
R0000022,849
R0000022,1126
R0000022,1320
R0000022,7
R0000023,46
R0000023,717
R0000023,46
R0000023,1132
R0000023,1491
R0000023,724
R0000023,203
R0000023,1132
R0000024,407
R0000024,1179
R0000024,298
R0000024,396
R0000025,1088
R0000025,385
R0000025,1447
R0000025,136
R0000025,298
R0000025,251
R0000025,1586
R0000025,1126
R0000025,1320
R0000025,7
R0000025,1447
R0000025,1216
R0000025,1593
R0000025,116
R0000025,1237
R0000026,1179
R0000026,396
R0000026,41
R0000027,1088
R0000027,724
R0000027,298
R0000027,7
R0000028,1447
R0000028,1587
R0000028,385
R0000028,1592
R0000028,298
R0000028,1587
R0000029,251
R0000029,248
R0000029,1447
R0000029,1216
R0000029,116
R0000029,7
R0000029,385
R0000029,1447
R0000029,1237
R0000030,248
R0000030,1179
R0000030,7
R0000030,248
R0000030,1586
R0000030,1447
R0000030,260
R0000030,1428
R0000030,385
R0000030,298
R0000030,396
R0000030,848
R0000031,298
R0000031,1530
R0000031,848
R0000032,1179
R0000032,525
R0000032,396
R0000032,298
R0000032,1447
R0000032,136
R0000032,1587
R0000032,NaN
R0000032,1428
R0000032,1428
R0000032,7
R0000032,1088
R0000032,396
R0000033,483
R0000033,298
R0000033,848
R0000033,1179
R0000033,1530
R0000033,439
R0000033,1008
R0000033,724
R0000034,466
R0000034,46
R0000034,1026
R0000034,717
R0000034,1026
R0000034,46
R0000034,1257
R0000034,203
R0000034,105
R0000034,717
R0000035,298
R0000035,848
R0000035,1179
R0000035,724
R0000035,203
R0000035,1132
R0000036,7
R0000036,1140
R0000036,1592
R0000036,1593
R0000036,466
R0000036,248
R0000036,1179
R0000036,248
R0000036,1447
R0000036,407
R0000037,105
R0000037,136
R0000037,1132
R0000037,1592
R0000037,251
R0000037,1216
R0000037,1447
R0000037,1126
R0000037,1582
R0000037,466
R0000037,1587
R0000037,136
R0000038,1586
R0000038,260
R0000038,1240
R0000038,466
R0000038,1586
R0000038,848
R0000038,1012
R0000038,1257
R0000038,46
R0000039,724
R0000039,1428
R0000039,1132
R0000039,18
R0000040,64
R0000040,724
R0000040,105
R0000040,1132
R0000040,1132
R0000041,1338
R0000041,1197
R0000041,1132
R0000041,1179
R0000041,298
R0000041,848
R0000042,396
R0000042,298
R0000042,1132
R0000042,105
R0000043,466
R0000043,1447
R0000043,136
R0000043,164
R0000043,7
R0000043,1233
R0000043,579
R0000043,1140
R0000043,248
R0000043,1240
R0000043,1140
R0000043,NaN
R0000043,1088
R0000043,166
R0000043,848
R0000044,298
R0000044,663
R0000044,114
R0000044,1583
R0000044,105
R0000044,466
R0000044,1132
R0000045,298
R0000045,64
R0000045,1132
R0000045,848
R0000045,396
R0000045,1179
R0000045,724
R0000045,46
R0000046,64
R0000046,1132
R0000046,1179
R0000046,439
R0000046,298
R0000046,1132
R0000046,396
R0000046,1026
R0000047,1589
R0000047,309
R0000047,396
R0000047,545
R0000048,298
R0000048,64
R0000048,203
R0000048,1179
R0000048,848
R0000049,298
R0000049,105
R0000049,1026
R0000049,848
R0000049,396
R0000049,1356
R0000050,1589
R0000050,848
R0000050,717
R0000050,1179
R0000051,1587
R0000051,1179
R0000051,298
R0000051,1586
R0000051,1240
R0000051,NaN
R0000051,1447
R0000051,724
R0000051,251
R0000051,7
R0000052,248
R0000052,1369
R0000052,1179
R0000052,1447
R0000052,1593
R0000052,298
R0000052,1592
R0000052,NaN
R0000052,1140
R0000053,396
R0000053,407
R0000053,1179
R0000053,298
R0000053,1078
R0000053,848
R0000053,396
R0000054,298
R0000054,848
R0000054,203
R0000054,396
R0000054,1179
R0000054,18
R0000054,1488
R0000054,717
R0000054,18
R0000055,663
