Compound Id,CAS Number,
0,488-10-8,
1,628-46-6,
3,1076-56-8,
4,103-25-3,
5,227456-27-1,
6,5405-41-4,
9,42075-45-6,
10,18277-27-5,
11,142-60-9,
13,302-72-7,
17,33467-74-2,
18,6263-65-6,
19,18138-05-1,
20,598-82-3,
22,8070-53-9,
24,112-66-3,
25,94087-83-9,
26,123-19-3,
27,95-16-9,
28,499-69-4,
30,80-27-3,
31,35852-46-1,
32,15356-74-8,
33,977045-71-8,
34,1192-62-7,
35,143-13-5,
37,122-00-9,
38,121-34-6,
39,10032-13-0,
40,109-08-0,
42,2311-46-8,
43,6627-88-9,
44,112-14-1,
45,2111-75-3,
48,123-07-9,
49,4864-61-3,
50,110-45-2,
51,8030-97-5,
52,536-78-7,
53,99-76-3,
54,4691-65-0,
56,123-92-2,
58,35154-45-1,
59,13925-06-9,
60,7341-17-5,
61,106-29-6,
62,142-83-6,
63,625-33-2,
64,4826-62-4,
65,591-68-4,
68,7493-58-5,
69,3301-94-8,
71,2432-51-1,
72,60-18-4,
73,2305-05-07,
74,65405-80-3,
75,13877-91-3,
76,21662-13-5,
77,589-66-2,
78,106-72-9,
79,2270-60-2,
81,2035-99-6,
83,16493-80-4,
84,5910-89-4,
86,105-54-4,
87,4437-22-3,
88,4630-07-03,
90,89-78-1,
91,624-24-8,
92,101-84-8,
93,695-06-7,
94,123-11-5,
95,1334-78-7,
96,5905-46-4,
97,623-37-0,
99,139564-43-5,
100,169054-69-7,
101,87-44-5,
103,1115-84-0,
104,13327-56-5,
105,127-17-3,
107,1072-83-9,
108,78-84-2,
110,31501-11-8,
111,87-25-2,
113,32951-19-2,
114,624-41-9,
115,105-43-1,
116,116-26-7,
117,57-06-7,
118,821-55-6,
121,98-85-1,
125,34135-85-8,
126,107-86-8,
130,122-48-5,
131,97-42-7,
132,106-23-0,
133,4634-89-3,
134,16630-66-3,
135,2445-77-4,
136,123-51-3,
137,2396-78-3,
138,7540-53-6,
139,91-22-5,
140,622-45-7,
143,35044-68-9,
144,105-68-0,
146,105-85-1,
147,107-85-7,
148,120-51-4,
149,542-55-2,
151,67-03-8,
153,540-42-1,
154,23328-62-3,
155,103-26-4,
156,526-83-0,
157,110-89-4,
158,112-80-1,
159,6789-80-6,
160,28588-74-1,
161,150-78-7,
162,491-09-8,
163,5362-56-1,
164,999-40-6,
165,97-53-0,
166,112-30-1,
168,4455-13-4,
171,79-92-5,
172,20333-39-5,
173,22047-25-2,
174,623-42-7,
175,592-88-1,
