Recipe ID 1,Recipe ID 2,No_of_shared_ingredients
R000001,R000002,5
R000001,R000003,2
R000001,R000004,3
R000001,R000005,1
R000001,R000006,2
R000001,R000007,0
R000001,R000008,3
R000001,R000009,3
R000001,R0000010,1
R000001,R0000011,0
R000001,R0000012,2
R000001,R0000013,1
R000001,R0000014,1
R000001,R0000015,3
R000001,R0000016,3
R000001,R0000017,1
R000001,R0000018,1
R000001,R0000020,3
R000001,R0000021,3
R000001,R0000022,5
R000001,R0000023,2
R000001,R0000024,1
R000001,R0000025,3
R000001,R0000026,0
R000001,R0000027,3
R000001,R0000028,1
R000001,R0000029,1
R000001,R0000030,2
R000001,R0000031,1
R000001,R0000032,3
R000001,R0000033,4
R000001,R0000034,0
R000001,R0000035,3
R000001,R0000036,1
R000001,R0000037,2
R000001,R0000038,1
R000001,R0000039,2
R000001,R0000040,2
R000001,R0000041,3
R000001,R0000042,2
R000001,R0000043,5
R000001,R0000044,3
R000001,R0000045,3
R000001,R0000046,3
R000001,R0000047,0
R000001,R0000048,1
R000001,R0000049,1
R000001,R0000050,0
R000001,R0000051,4
R000001,R0000052,1
R000001,R0000053,1
R000001,R0000054,1
R000001,R0000055,3
R000001,R0000056,1
R000001,R0000057,1
R000001,R0000058,1
R000001,R0000059,0
R000001,R0000060,2
R000001,R0000061,1
R000001,R0000062,1
R000001,R0000063,1
R000001,R0000064,2
R000001,R0000065,2
R000001,R0000066,1
R000001,R0000067,2
R000001,R0000068,3
R000001,R0000069,2
R000001,R0000070,1
R000001,R0000071,3
R000001,R0000072,1
R000001,R0000073,3
R000001,R0000074,2
R000001,R0000075,1
R000001,R0000076,0
R000001,R0000077,0
R000001,R0000078,1
R000001,R0000079,2
R000001,R0000080,2
R000001,R0000081,1
R000001,R0000082,3
R000001,R0000083,2
R000001,R0000084,2
R000001,R0000085,1
R000001,R0000086,1
R000001,R0000087,3
R000001,R0000088,2
R000001,R0000089,2
R000001,R0000090,3
R000001,R0000091,2
R000001,R0000092,3
R000001,R0000093,3
R000001,R0000094,2
R000001,R0000095,3
R000001,R0000096,2
R000001,R0000097,2
R000001,R0000098,2
R000001,R0000099,2
R000001,R00000100,1
R000002,R000003,2
R000002,R000004,4
R000002,R000005,1
R000002,R000006,1
R000002,R000007,0
R000002,R000008,0
R000002,R000009,0
R000002,R0000010,0
R000002,R0000011,1
R000002,R0000012,1
R000002,R0000013,0
R000002,R0000014,1
R000002,R0000015,3
R000002,R0000016,3
R000002,R0000017,2
R000002,R0000018,0
R000002,R0000020,5
R000002,R0000021,0
R000002,R0000022,4
R000002,R0000023,0
