Recipe ID,Recipe Name,No_of_shared_molecules
R000001,Chicken Tikka Masala,170
R000002,Black Peas,111
R000003,Bangers and mash,144
R000004,Bubble and Squeak,126
R000005,Fish and Chips,111
R000006,Welsh Rarebit,128
R000007,Yorkshire Pudding,104
R000008,Banoffee Pie,124
R000009,Battenburg Cake,147
R0000010,Bread and Butter Pudding,142
R0000011,Toad-in-the-Hole,86
R0000012,Pork & apple sauce,141
R0000013,Victoria Sponge Cake,101
R0000014,Shephard's Pie,138
R0000015,Cumberland sausage,157
R0000016,Cottage Pie,156
R0000017,Pork Pie,123
R0000018,Eton Mess,100
R0000020,Crumpets,175
R0000021,Piccalilli,135
R0000022,Berry Trifle,137
R0000023,Slotty Clake,109
R0000024,Boiled ham with pease pudding,95
R0000025,British Scones,142
R0000026,Mushy Peas,108
R0000027,Lancashire Hot Pot,112
R0000028,Cawl (Traditional Welsh Broth),110
R0000029,Eccles Cakes,126
R0000030,Steak and Kidney Pie with Bacon and Mushrooms,174
R0000031,Lamb Cobbler,96
R0000032,Sticky toffee pudding,163
R0000033,Summer Pudding,115
R0000034,Pound Cake,126
R0000035,Roast beef with caramelised onion gravy,114
R0000036,Roast lamb with spring herb crumbs,112
R0000037,Full English breakfast,105
R0000038,Lemon syllabub,139
R0000039,Treacle Tart,125
R0000040,Potted Shrimps,86
R0000041,Scouse,144
R0000042,Mince pies,125
R0000043,Queen Of Puddings,158
R0000044,Beef Pasties,128
R0000045,Steamed Lemon Pudding with Treacle Sauce,133
R0000046,Spotted dick with lemon syrup,138
R0000047,Fifteens,86
R0000048,Plain Madeira Cake,95
R0000049,Classic bread and butter pudding,132
R0000050,Swiss Roll ,106
R0000051,Liver and Onions,138
R0000052,wild rabbit stew,117
R0000053,bath buns,104
R0000054,Chocolate battenberg,161
R0000055,Potted crab with asparagus,122
R0000056,branbury cakes,162
R0000057,brown shrimps on toast,90
R0000058,cambridge burnt cream,78
R0000059,Wholegrain mustard,49
R0000060,onion gravy,148
R0000061,Beef trencher,149
R0000062,Pea and ham soup,76
R0000063,Apple Crumble,86
R0000064,Turkey Wellingtons,132
R0000065,British simnel cakes,171
R0000066,Easy Devonshire Cream,67
R0000067,Irish Bacon and Cabbage Soup,113
R0000068,Langoustines with lemon & pepper butter,161
R0000069,Eggs Benedict,182
R0000070,Simple soda bread,49
R0000071,Chicken in a pot,129
R0000072,Vanilla Pudding,122
R0000073,Tarragon Chicken Salad Tea Sandwiches,132
R0000074,Prosecco jelly,152
R0000075,Whitebait & dill mayo,80
R0000076,"Sliced fennel, orange & almond salad",97
R0000077,Watermelon & feta salad,100
R0000078,Mini vegan doughnuts,155
R0000079,citrus shortbread,111
R0000080,Potato Candy,123
R0000081,PassionFruit Melting Moments,75
R0000082,Winter pea & bean braise,157
R0000083,Chicken wellingtons with creamy pea sauce,148
R0000084,Spiced raisin rice pudding,128
R0000085,Pumpkin and prosciutto lasagne,67
R0000086,Potato Crisps,72
R0000087,Bacon and cheese nachos,154
R0000088,Colcannon,134
R0000089,whole roasted pheasant,153
R0000090,Beef & barley bun with horseradish,167
R0000091,Cock a Leekie Soup,89
R0000092,British roots,123
R0000093,Posh beans toast,149
R0000094,"Sweet potato hash brown with tomato, bacon and egg",148
R0000095,Leek & potato soup with blue cheese toast,132
R0000096,Corned beef with parsley sauce,148
R0000097,Apple and butterscotch sponge pudding,123
R0000098,Creamed spinach,90
R0000099,Baked rice pudding,119
R00000100,Traditional shortbread,98
