Aliased Ingredient ID,Compound ID
7,37
7,79
7,132
7,157
7,165
7,177
7,243
7,250
7,260
7,273
7,295
7,348
7,361
7,378
7,393
7,434
7,442
7,460
7,518
7,519
7,602
7,620
7,628
7,632
7,704
7,737
7,767
7,778
7,793
7,867
7,886
7,957
7,965
7,971
7,1012
7,1021
7,1069
7,1092
9,19
9,40
9,59
9,62
9,63
9,64
9,72
9,84
9,107
9,113
9,118
9,158
9,173
9,176
9,183
9,189
9,193
9,195
9,196
9,198
9,199
9,211
9,228
9,229
9,243
9,249
9,256
9,272
9,275
9,285
9,287
9,292
9,294
9,299
9,313
9,317
9,338
9,340
9,363
9,384
9,391
9,397
9,398
9,400
9,402
9,408
9,410
9,424
9,431
9,445
9,462
9,472
9,487
9,517
9,524
9,533
9,550
9,554
9,555
9,556
9,558
9,560
9,595
9,599
9,600
9,619
9,638
9,639
9,645
9,654
9,656
9,657
9,662
9,667
9,669
9,670
9,676
9,693
9,696
9,697
9,704
9,710
9,712
9,719
9,724
9,729
9,730
9,734
9,742
9,753
9,764
9,768
9,771
9,772
9,786
9,798
9,806
9,811
9,818
9,827
9,831
9,836
9,841
9,849
9,850
9,858
9,861
9,864
9,867
9,871
9,890
9,893
9,902
9,904
9,909
9,911
9,918
9,920
9,926
9,937
9,948
9,958
9,961
9,962
9,968
9,972
9,978
9,980
9,984
9,985
9,990
9,997
9,1004
9,1007
9,1023
9,1027
9,1030
9,1040
9,1042
9,1043
9,1049
9,1054
9,1064
9,1082
9,1104
15,117
18,72
18,107
18,195
18,541
18,568
18,669
18,871
18,890
18,1064
35,748
35,876
35,879
41,0
41,13
41,22
41,37
41,40
41,62
41,63
41,75
41,84
41,86
41,93
41,97
41,107
41,117
41,118
41,121
41,136
41,140
41,157
41,177
41,189
41,198
41,199
41,203
41,211
41,212
41,220
41,228
41,229
41,243
41,245
41,247
41,249
41,269
41,272
41,275
41,285
41,292
41,294
41,299
41,311
41,316
41,317
41,338
41,340
41,345
41,346
41,358
41,362
41,368
41,369
41,390
41,400
41,402
41,415
41,419
41,423
41,424
41,430
41,442
41,466
41,482
41,484
41,490
41,515
41,524
41,534
41,541
41,545
41,549
41,550
41,554
41,555
41,556
41,567
41,595
41,599
41,600
41,610
41,619
41,628
41,638
41,645
41,647
41,656
41,657
41,661
41,667
41,670
41,693
41,704
41,719
41,724
41,734
41,735
41,737
41,753
41,756
41,761
41,764
41,766
41,768
41,772
41,779
41,786
41,787
41,798
41,806
41,811
41,818
41,822
41,827
41,836
41,841
41,847
41,850
41,861
41,880
41,890
41,893
41,902
41,904
41,909
41,911
41,912
41,918
41,920
41,926
41,947
41,958
41,960
41,962
41,972
41,978
41,980
41,983
41,984
41,985
41,987
41,990
41,991
41,997
41,1004
41,1007
41,1013
41,1029
41,1030
41,1040
41,1043
41,1049
41,1050
41,1054
41,1064
41,1079
41,1080
41,1082
41,1084
41,1092
41,1102
41,1104
46,56
46,86
46,93
46,131
46,136
46,156
46,174
46,203
46,235
46,243
46,273
46,292
46,296
46,317
46,325
46,384
46,400
46,423
46,424
46,426
46,434
46,449
46,473
46,519
46,554
46,586
46,599
46,610
46,612
46,628
46,645
46,650
46,657
46,673
46,684
46,703
46,704
46,730
46,734
46,757
46,761
46,764
46,772
46,786
46,793
46,798
46,806
46,825
46,847
46,862
46,900
46,909
46,954
46,988
46,990
46,1015
46,1021
46,1026
46,1040
46,1062
46,1064
46,1082
46,1092
46,1102
64,50
64,86
64,90
64,91
64,136
64,146
64,174
64,179
64,198
64,240
64,292
64,316
64,317
64,338
64,357
64,519
64,549
64,566
64,567
64,600
64,647
64,664
64,704
64,719
64,734
64,737
64,768
64,772
64,783
64,787
64,800
64,821
64,866
64,867
64,905
64,918
64,919
64,954
64,958
64,971
64,980
64,985
64,991
64,1001
64,1004
64,1015
64,1016
64,1021
64,1030
64,1036
64,1040
64,1046
64,1049
64,1064
64,1102
69,9
69,20
69,40
69,56
69,72
69,81
69,84
69,86
69,93
69,105
69,108
69,118
69,121
69,136
69,147
69,157
69,158
69,166
69,172
69,195
69,198
69,203
69,211
69,218
69,229
69,234
69,241
69,243
69,268
69,275
69,278
69,285
69,292
69,298
69,299
69,301
69,311
69,317
69,338
69,344
69,357
69,358
69,363
69,369
69,384
69,391
69,400
69,406
69,431
69,460
69,505
69,524
69,526
69,531
69,549
69,554
69,556
69,559
69,560
69,584
69,593
69,595
69,599
69,600
69,606
69,610
69,619
69,631
69,638
69,657
69,660
69,670
69,673
69,676
69,684
69,686
69,710
69,719
69,724
69,728
69,730
69,734
69,742
69,744
69,750
69,753
69,764
69,766
69,771
69,772
69,798
69,800
69,804
69,806
69,811
69,813
69,816
69,821
69,827
69,850
69,890
69,901
69,909
69,912
69,914
69,918
69,919
69,926
69,957
69,971
69,978
69,980
69,984
69,985
69,988
69,995
69,1013
69,1025
69,1030
69,1033
69,1036
69,1040
69,1042
69,1046
69,1049
69,1057
69,1064
69,1073
69,1077
69,1082
69,1102
88,6
88,28
88,88
88,93
88,111
88,157
88,179
88,183
88,191
88,196
88,198
88,234
88,243
88,301
88,318
88,373
88,397
88,400
88,403
88,404
88,410
88,433
88,461
88,468
88,505
88,511
88,519
88,522
88,541
88,555
88,583
88,600
88,630
88,642
88,661
88,680
88,700
88,719
88,742
88,757
88,774
88,803
88,877
88,886
88,918
88,921
88,957
88,971
88,980
88,988
88,990
88,991
88,1040
88,1067
94,50
94,68
94,90
94,131
94,136
94,155
94,156
94,158
94,229
94,249
94,257
94,292
94,296
94,345
94,397
94,424
94,431
94,449
94,628
94,645
94,657
94,684
94,704
94,705
94,734
94,761
94,772
94,798
94,806
94,862
94,922
94,947
94,1013
94,1040
94,1062
94,1064
94,1092
94,1104
98,114
98,131
98,156
98,174
98,203
98,229
98,292
98,296
98,333
98,337
98,397
98,400
98,424
98,449
98,471
98,524
98,554
98,595
98,628
98,645
98,657
98,671
98,684
98,724
98,750
98,761
98,794
98,798
98,806
98,836
98,862
98,895
98,909
98,912
98,943
98,1001
98,1030
98,1040
98,1062
98,1082
98,1092
105,40
105,84
105,93
105,136
105,173
105,195
105,198
105,229
105,243
105,275
105,298
105,317
105,357
105,358
105,369
105,391
105,419
105,424
105,490
105,524
105,549
105,550
105,554
105,556
105,584
105,600
105,606
105,667
105,719
105,724
105,725
105,734
105,761
105,764
105,772
105,798
105,806
105,811
105,850
105,890
105,911
105,914
105,918
105,984
105,990
105,1004
105,1013
105,1030
105,1033
105,1040
105,1041
114,560
114,714
116,117
116,475
116,766
117,424
117,541
117,554
117,657
117,734
117,818
117,893
117,990
127,173
127,424
127,798
133,93
133,118
133,136
133,203
133,209
133,235
133,243
133,275
133,299
133,345
133,401
133,524
133,595
133,669
133,704
133,734
133,798
133,818
133,847
133,990
133,1013
133,1054
136,125
136,175
136,273
136,388
136,392
136,429
136,445
136,472
136,480
136,560
136,599
136,613
136,617
136,643
136,798
136,827
136,849
136,976
136,984
136,1004
136,1035
141,235
141,430
141,645
141,761
141,798
141,983
141,1043
142,34
142,37
142,63
142,116
142,136
142,140
