Recipe ID,Recipe Name,shared_molecule_Compound_ID,Compound_CAS_Number
R000001,Chicken Tikka Masala,519,93-58-3
R000001,Chicken Tikka Masala,1033,78-93-3
R000001,Chicken Tikka Masala,524,124-07-2
R000001,Chicken Tikka Masala,1040,60-12-8
R000001,Chicken Tikka Masala,600,71-23-8
R000001,Chicken Tikka Masala,1046,513-86-0
R000001,Chicken Tikka Masala,24,112-66-3
R000001,Chicken Tikka Masala,1049,67-63-0
R000001,Chicken Tikka Masala,602,470-82-6
R000001,Chicken Tikka Masala,30,80-27-3
R000001,Chicken Tikka Masala,34,1192-62-7
R000001,Chicken Tikka Masala,37,122-00-9
R000001,Chicken Tikka Masala,550,13925-00-3
R000001,Chicken Tikka Masala,40,109-08-0
R000001,Chicken Tikka Masala,554,124-19-6
R000001,Chicken Tikka Masala,556,123-32-0
R000001,Chicken Tikka Masala,45,2111-75-3
R000001,Chicken Tikka Masala,922,104-76-7
R000001,Chicken Tikka Masala,50,110-45-2
R000001,Chicken Tikka Masala,563,762-29-8
R000001,Chicken Tikka Masala,1064,108-95-2
R000001,Chicken Tikka Masala,56,123-92-2
R000001,Chicken Tikka Masala,1082,143-08-8
R000001,Chicken Tikka Masala,62,142-83-6
R000001,Chicken Tikka Masala,63,625-33-2
R000001,Chicken Tikka Masala,576,4180-23-8
R000001,Chicken Tikka Masala,1091,93-89-0
R000001,Chicken Tikka Masala,1092,99-85-4
R000001,Chicken Tikka Masala,69,3301-94-8
R000001,Chicken Tikka Masala,1095,105-91-9
R000001,Chicken Tikka Masala,586,78-70-6
R000001,Chicken Tikka Masala,76,21662-13-5
R000001,Chicken Tikka Masala,1101,6789-88-4
R000001,Chicken Tikka Masala,1102,543-49-7
R000001,Chicken Tikka Masala,1104,90-05-1
R000001,Chicken Tikka Masala,595,111-13-7
R000001,Chicken Tikka Masala,599,75-18-3
R000001,Chicken Tikka Masala,88,4630-07-03
R000001,Chicken Tikka Masala,90,89-78-1
R000001,Chicken Tikka Masala,954,106-24-1
R000001,Chicken Tikka Masala,606,103-45-7
R000001,Chicken Tikka Masala,610,142-92-7
R000001,Chicken Tikka Masala,101,87-44-5
R000001,Chicken Tikka Masala,107,1072-83-9
R000001,Chicken Tikka Masala,108,78-84-2
R000001,Chicken Tikka Masala,628,99-86-5
R000001,Chicken Tikka Masala,118,821-55-6
R000001,Chicken Tikka Masala,643,91-10-1
R000001,Chicken Tikka Masala,136,123-51-3
R000001,Chicken Tikka Masala,137,2396-78-3
R000001,Chicken Tikka Masala,651,1604-28-0
R000001,Chicken Tikka Masala,143,35044-68-9
R000001,Chicken Tikka Masala,657,124-13-0
R000001,Chicken Tikka Masala,148,120-51-4
R000001,Chicken Tikka Masala,794,689-67-8
R000001,Chicken Tikka Masala,158,112-80-1
R000001,Chicken Tikka Masala,159,6789-80-6
R000001,Chicken Tikka Masala,673,123-35-3
R000001,Chicken Tikka Masala,162,491-09-8
R000001,Chicken Tikka Masala,163,5362-56-1
R000001,Chicken Tikka Masala,676,123-08-0
R000001,Chicken Tikka Masala,165,97-53-0
R000001,Chicken Tikka Masala,166,112-30-1
R000001,Chicken Tikka Masala,680,141-12-8
R000001,Chicken Tikka Masala,682,16491-36-4
R000001,Chicken Tikka Masala,171,79-92-5
R000001,Chicken Tikka Masala,174,623-42-7
R000001,Chicken Tikka Masala,177,127-91-3
R000001,Chicken Tikka Masala,1054,2463-63-0
R000001,Chicken Tikka Masala,183,141-79-7
R000001,Chicken Tikka Masala,703,98-01-1
R000001,Chicken Tikka Masala,704,10482-56-1
R000001,Chicken Tikka Masala,620,94-59-7
R000001,Chicken Tikka Masala,927,83-34-1
R000001,Chicken Tikka Masala,198,109-52-4
R000001,Chicken Tikka Masala,199,2463-77-6
R000001,Chicken Tikka Masala,972,1669-44-9
R000001,Chicken Tikka Masala,203,3391-86-4
R000001,Chicken Tikka Masala,204,106-44-5
R000001,Chicken Tikka Masala,717,104-62-1
R000001,Chicken Tikka Masala,719,79-09-4
R000001,Chicken Tikka Masala,720,586-82-3
R000001,Chicken Tikka Masala,211,13360-64-0
R000001,Chicken Tikka Masala,215,65-85-0
R000001,Chicken Tikka Masala,218,705-86-2
R000001,Chicken Tikka Masala,220,3208-16-0
R000001,Chicken Tikka Masala,890,14667-55-1
R000001,Chicken Tikka Masala,734,122-78-1
R000001,Chicken Tikka Masala,549,503-74-2
R000001,Chicken Tikka Masala,224,95-48-7
R000001,Chicken Tikka Masala,737,103-82-2
R000001,Chicken Tikka Masala,227,134-20-3
R000001,Chicken Tikka Masala,229,57-10-3
