Recipe ID,Recipe Name,No_of_shared_molecules
R0000069,Eggs Benedict,198
R0000020,Crumpets,197
R000001,Chicken Tikka Masala,189
R0000065,British simnel cakes,187
R0000030,Steak and Kidney Pie with Bacon and Mushrooms,182
R0000043,Queen Of Puddings,180
R0000068,Langoustines with lemon & pepper butter,175
R0000056,branbury cakes,175
R0000090,Beef & barley bun with horseradish,175
R0000032,Sticky toffee pudding,171
R0000054,Chocolate battenberg,170
R0000078,Mini vegan doughnuts,169
R0000015,Cumberland sausage,167
R0000074,Prosecco jelly,166
R000009,Battenburg Cake,165
R0000082,Winter pea & bean braise,165
R0000016,Cottage Pie,165
R0000087,Bacon and cheese nachos,164
R0000094,"Sweet potato hash brown with tomato, bacon and egg",163
R0000089,whole roasted pheasant,160
R0000041,Scouse,159
R0000093,Posh beans toast,159
R0000012,Pork & apple sauce,158
R0000096,Corned beef with parsley sauce,157
R0000060,onion gravy,155
R0000061,Beef trencher,155
R0000038,Lemon syllabub,155
R0000010,Bread and Butter Pudding,155
R0000083,Chicken wellingtons with creamy pea sauce,154
R0000046,Spotted dick with lemon syrup,153
R0000021,Piccalilli,152
R000003,Bangers and mash,151
R0000025,British Scones,151
R0000022,Berry Trifle,149
R0000045,Steamed Lemon Pudding with Treacle Sauce,148
R0000051,Liver and Onions,147
R0000084,Spiced raisin rice pudding,143
R0000014,Shephard's Pie,143
R0000049,Classic bread and butter pudding,142
R0000044,Beef Pasties,142
R0000088,Colcannon,141
R0000095,Leek & potato soup with blue cheese toast,141
R0000073,Tarragon Chicken Salad Tea Sandwiches,139
R0000042,Mince pies,139
R0000034,Pound Cake,139
R0000064,Turkey Wellingtons,138
R0000039,Treacle Tart,138
R0000071,Chicken in a pot,137
R0000055,Potted crab with asparagus,137
R000006,Welsh Rarebit,136
R000008,Banoffee Pie,135
R000004,Bubble and Squeak,133
R0000029,Eccles Cakes,132
R0000017,Pork Pie,131
R0000072,Vanilla Pudding,130
R0000080,Potato Candy,129
R0000097,Apple and butterscotch sponge pudding,129
R0000035,Roast beef with caramelised onion gravy,128
R0000099,Baked rice pudding,128
R0000092,British roots,128
R0000079,citrus shortbread,127
R0000052,wild rabbit stew,123
R0000023,Slotty Clake,123
R0000033,Summer Pudding,122
R0000067,Irish Bacon and Cabbage Soup,120
R0000027,Lancashire Hot Pot,119
R0000037,Full English breakfast,119
R0000036,Roast lamb with spring herb crumbs,119
R000005,Fish and Chips,118
R000002,Black Peas,117
R0000028,Cawl (Traditional Welsh Broth),115
R0000026,Mushy Peas,113
R0000050,Swiss Roll ,111
R0000053,bath buns,109
R000007,Yorkshire Pudding,109
R0000076,"Sliced fennel, orange & almond salad",108
R0000077,Watermelon & feta salad,107
R0000013,Victoria Sponge Cake,106
R0000018,Eton Mess,105
R00000100,Traditional shortbread,104
R0000031,Lamb Cobbler,103
R0000048,Plain Madeira Cake,100
R0000024,Boiled ham with pease pudding,100
R0000040,Potted Shrimps,99
R0000098,Creamed spinach,96
R0000057,brown shrimps on toast,95
R0000091,Cock a Leekie Soup,95
R0000075,Whitebait & dill mayo,94
R0000011,Toad-in-the-Hole,93
R0000063,Apple Crumble,91
R0000047,Fifteens,91
R0000058,cambridge burnt cream,83
R0000081,PassionFruit Melting Moments,80
R0000062,Pea and ham soup,78
R0000086,Potato Crisps,76
R0000066,Easy Devonshire Cream,72
R0000085,Pumpkin and prosciutto lasagne,68
R0000070,Simple soda bread,50
R0000059,Wholegrain mustard,50
