Recipe ID,Recipe Name,No_of_shared_molecules
R0000020,Crumpets,194
R0000069,Eggs Benedict,190
R000001,Chicken Tikka Masala,189
R0000056,branbury cakes,181
R0000030,Steak and Kidney Pie with Bacon and Mushrooms,181
R0000065,British simnel cakes,179
R0000090,Beef & barley bun with horseradish,173
R0000032,Sticky toffee pudding,170
R0000068,Langoustines with lemon & pepper butter,168
R0000043,Queen Of Puddings,167
R0000054,Chocolate battenberg,167
R0000015,Cumberland sausage,165
R0000078,Mini vegan doughnuts,164
R0000082,Winter pea & bean braise,163
R0000074,Prosecco jelly,162
R0000087,Bacon and cheese nachos,161
R0000016,Cottage Pie,161
R0000046,Spotted dick with lemon syrup,157
R0000022,Berry Trifle,156
R0000089,whole roasted pheasant,156
R0000093,Posh beans toast,155
R0000061,Beef trencher,154
R0000096,Corned beef with parsley sauce,154
R000009,Battenburg Cake,152
R0000083,Chicken wellingtons with creamy pea sauce,152
R0000094,"Sweet potato hash brown with tomato, bacon and egg",152
R0000060,onion gravy,151
R0000025,British Scones,150
R0000041,Scouse,148
R000003,Bangers and mash,148
R0000084,Spiced raisin rice pudding,147
R0000010,Bread and Butter Pudding,147
R0000012,Pork & apple sauce,147
R0000038,Lemon syllabub,145
R0000051,Liver and Onions,144
R0000080,Potato Candy,142
R0000021,Piccalilli,139
R0000014,Shephard's Pie,139
R0000088,Colcannon,138
R0000099,Baked rice pudding,138
R0000049,Classic bread and butter pudding,137
R0000073,Tarragon Chicken Salad Tea Sandwiches,136
R0000045,Steamed Lemon Pudding with Treacle Sauce,136
R0000095,Leek & potato soup with blue cheese toast,136
R0000064,Turkey Wellingtons,135
R0000034,Pound Cake,135
R000006,Welsh Rarebit,134
R0000033,Summer Pudding,134
R0000044,Beef Pasties,133
R0000071,Chicken in a pot,132
R000004,Bubble and Squeak,130
R0000039,Treacle Tart,130
R0000029,Eccles Cakes,129
R0000042,Mince pies,128
R0000055,Potted crab with asparagus,128
R0000017,Pork Pie,128
R000008,Banoffee Pie,127
R0000072,Vanilla Pudding,126
R0000097,Apple and butterscotch sponge pudding,125
R0000092,British roots,124
R0000052,wild rabbit stew,120
R0000067,Irish Bacon and Cabbage Soup,117
R000002,Black Peas,117
R0000035,Roast beef with caramelised onion gravy,117
R0000027,Lancashire Hot Pot,116
R0000036,Roast lamb with spring herb crumbs,116
R0000079,citrus shortbread,115
R000005,Fish and Chips,115
R0000023,Slotty Clake,115
R0000026,Mushy Peas,112
R0000028,Cawl (Traditional Welsh Broth),111
R0000050,Swiss Roll ,110
R0000037,Full English breakfast,109
R0000053,bath buns,105
R000007,Yorkshire Pudding,105
R0000018,Eton Mess,104
R0000076,"Sliced fennel, orange & almond salad",103
R0000077,Watermelon & feta salad,102
R0000013,Victoria Sponge Cake,102
R00000100,Traditional shortbread,100
R0000031,Lamb Cobbler,98
R0000048,Plain Madeira Cake,96
R0000024,Boiled ham with pease pudding,96
R0000098,Creamed spinach,94
R0000091,Cock a Leekie Soup,93
R0000057,brown shrimps on toast,91
R0000011,Toad-in-the-Hole,89
R0000040,Potted Shrimps,88
R0000047,Fifteens,88
R0000063,Apple Crumble,87
R0000075,Whitebait & dill mayo,86
R0000058,cambridge burnt cream,79
R0000062,Pea and ham soup,77
R0000081,PassionFruit Melting Moments,77
R0000086,Potato Crisps,75
R0000066,Easy Devonshire Cream,67
R0000085,Pumpkin and prosciutto lasagne,67
R0000059,Wholegrain mustard,50
R0000070,Simple soda bread,49
