Recipe ID,Recipe Name,No_of_shared_molecules
R000001,Chicken Tikka Masala,18
R000002,Black Peas,13
R000003,Bangers and mash,14
R000004,Bubble and Squeak,13
R000005,Fish and Chips,13
R000006,Welsh Rarebit,12
R000007,Yorkshire Pudding,9
R000008,Banoffee Pie,12
R000009,Battenburg Cake,16
R0000010,Bread and Butter Pudding,15
R0000011,Toad-in-the-Hole,10
R0000012,Pork & apple sauce,15
R0000013,Victoria Sponge Cake,10
R0000014,Shephard's Pie,14
R0000015,Cumberland sausage,15
R0000016,Cottage Pie,14
R0000017,Pork Pie,13
R0000018,Eton Mess,12
R0000020,Crumpets,22
R0000021,Piccalilli,16
R0000022,Berry Trifle,15
R0000023,Slotty Clake,12
R0000024,Boiled ham with pease pudding,8
R0000025,British Scones,14
R0000026,Mushy Peas,10
R0000027,Lancashire Hot Pot,8
R0000028,Cawl (Traditional Welsh Broth),12
R0000029,Eccles Cakes,15
R0000030,Steak and Kidney Pie with Bacon and Mushrooms,15
R0000031,Lamb Cobbler,8
R0000032,Sticky toffee pudding,15
R0000033,Summer Pudding,14
R0000034,Pound Cake,13
R0000035,Roast beef with caramelised onion gravy,13
R0000036,Roast lamb with spring herb crumbs,12
R0000037,Full English breakfast,11
R0000038,Lemon syllabub,17
R0000039,Treacle Tart,12
R0000040,Potted Shrimps,12
R0000041,Scouse,16
R0000042,Mince pies,12
R0000043,Queen Of Puddings,17
R0000044,Beef Pasties,12
R0000045,Steamed Lemon Pudding with Treacle Sauce,15
R0000046,Spotted dick with lemon syrup,17
R0000047,Fifteens,9
R0000048,Plain Madeira Cake,11
R0000049,Classic bread and butter pudding,15
R0000050,Swiss Roll ,14
R0000051,Liver and Onions,14
R0000052,wild rabbit stew,13
R0000053,bath buns,10
R0000054,Chocolate battenberg,15
R0000055,Potted crab with asparagus,13
R0000056,branbury cakes,18
R0000057,brown shrimps on toast,6
R0000058,cambridge burnt cream,9
R0000059,Wholegrain mustard,10
R0000060,onion gravy,12
R0000061,Beef trencher,13
R0000062,Pea and ham soup,8
R0000063,Apple Crumble,6
R0000064,Turkey Wellingtons,13
R0000065,British simnel cakes,17
R0000066,Easy Devonshire Cream,6
R0000067,Irish Bacon and Cabbage Soup,13
R0000068,Langoustines with lemon & pepper butter,13
R0000069,Eggs Benedict,16
R0000070,Simple soda bread,5
R0000071,Chicken in a pot,14
R0000072,Vanilla Pudding,14
R0000073,Tarragon Chicken Salad Tea Sandwiches,14
R0000074,Prosecco jelly,16
R0000075,Whitebait & dill mayo,13
R0000076,"Sliced fennel, orange & almond salad",14
R0000077,Watermelon & feta salad,13
R0000078,Mini vegan doughnuts,16
R0000079,citrus shortbread,13
R0000080,Potato Candy,14
R0000081,PassionFruit Melting Moments,7
R0000082,Winter pea & bean braise,14
R0000083,Chicken wellingtons with creamy pea sauce,13
R0000084,Spiced raisin rice pudding,17
R0000085,Pumpkin and prosciutto lasagne,8
R0000086,Potato Crisps,8
R0000087,Bacon and cheese nachos,17
R0000088,Colcannon,15
R0000089,whole roasted pheasant,12
R0000090,Beef & barley bun with horseradish,13
R0000091,Cock a Leekie Soup,10
R0000092,British roots,14
R0000093,Posh beans toast,16
R0000094,"Sweet potato hash brown with tomato, bacon and egg",16
R0000095,Leek & potato soup with blue cheese toast,14
R0000096,Corned beef with parsley sauce,12
R0000097,Apple and butterscotch sponge pudding,15
R0000098,Creamed spinach,10
R0000099,Baked rice pudding,15
R00000100,Traditional shortbread,8
