Recipe ID,Recipe Name,No_of_shared_molecules
R000001,Chicken Tikka Masala,210
R000002,Black Peas,128
R000003,Bangers and mash,163
R000004,Bubble and Squeak,142
R000005,Fish and Chips,127
R000006,Welsh Rarebit,147
R000007,Yorkshire Pudding,113
R000008,Banoffee Pie,164
R000009,Battenburg Cake,187
R0000010,Bread and Butter Pudding,161
R0000011,Toad-in-the-Hole,97
R0000012,Pork & apple sauce,181
R0000013,Victoria Sponge Cake,110
R0000014,Shephard's Pie,154
R0000015,Cumberland sausage,177
R0000016,Cottage Pie,177
R0000017,Pork Pie,142
R0000018,Eton Mess,110
R0000020,Crumpets,203
R0000021,Piccalilli,156
R0000022,Berry Trifle,177
R0000023,Slotty Clake,126
R0000024,Boiled ham with pease pudding,104
R0000025,British Scones,164
R0000026,Mushy Peas,118
R0000027,Lancashire Hot Pot,129
R0000028,Cawl (Traditional Welsh Broth),119
R0000029,Eccles Cakes,146
R0000030,Steak and Kidney Pie with Bacon and Mushrooms,196
R0000031,Lamb Cobbler,108
R0000032,Sticky toffee pudding,185
R0000033,Summer Pudding,128
R0000034,Pound Cake,144
R0000035,Roast beef with caramelised onion gravy,130
R0000036,Roast lamb with spring herb crumbs,130
R0000037,Full English breakfast,125
R0000038,Lemon syllabub,159
R0000039,Treacle Tart,145
R0000040,Potted Shrimps,101
R0000041,Scouse,165
R0000042,Mince pies,142
R0000043,Queen Of Puddings,198
R0000044,Beef Pasties,147
R0000045,Steamed Lemon Pudding with Treacle Sauce,150
R0000046,Spotted dick with lemon syrup,156
R0000047,Fifteens,98
R0000048,Plain Madeira Cake,103
R0000049,Classic bread and butter pudding,147
R0000050,Swiss Roll ,115
R0000051,Liver and Onions,158
R0000052,wild rabbit stew,130
R0000053,bath buns,114
R0000054,Chocolate battenberg,174
R0000055,Potted crab with asparagus,143
R0000056,branbury cakes,182
R0000057,brown shrimps on toast,97
R0000058,cambridge burnt cream,86
R0000059,Wholegrain mustard,51
R0000060,onion gravy,161
R0000061,Beef trencher,164
R0000062,Pea and ham soup,85
R0000063,Apple Crumble,93
R0000064,Turkey Wellingtons,143
R0000065,British simnel cakes,197
R0000066,Easy Devonshire Cream,75
R0000067,Irish Bacon and Cabbage Soup,127
R0000068,Langoustines with lemon & pepper butter,184
R0000069,Eggs Benedict,205
R0000070,Simple soda bread,51
R0000071,Chicken in a pot,141
R0000072,Vanilla Pudding,133
R0000073,Tarragon Chicken Salad Tea Sandwiches,147
R0000074,Prosecco jelly,174
R0000075,Whitebait & dill mayo,98
R0000076,"Sliced fennel, orange & almond salad",115
R0000077,Watermelon & feta salad,114
R0000078,Mini vegan doughnuts,176
R0000079,citrus shortbread,132
R0000080,Potato Candy,136
R0000081,PassionFruit Melting Moments,82
R0000082,Winter pea & bean braise,173
R0000083,Chicken wellingtons with creamy pea sauce,162
R0000084,Spiced raisin rice pudding,148
R0000085,Pumpkin and prosciutto lasagne,71
R0000086,Potato Crisps,82
R0000087,Bacon and cheese nachos,179
R0000088,Colcannon,152
R0000089,whole roasted pheasant,168
R0000090,Beef & barley bun with horseradish,183
R0000091,Cock a Leekie Soup,102
R0000092,British roots,137
R0000093,Posh beans toast,168
R0000094,"Sweet potato hash brown with tomato, bacon and egg",170
R0000095,Leek & potato soup with blue cheese toast,149
R0000096,Corned beef with parsley sauce,171
R0000097,Apple and butterscotch sponge pudding,137
R0000098,Creamed spinach,103
R0000099,Baked rice pudding,134
R00000100,Traditional shortbread,105
