Recipe ID,Recipe Name,Mapped,Missing,Total
R000001,Chicken Tikka Masala,16,0,16
R0000010,Bread and Butter Pudding,7,0,7
R00000100,Traditional shortbread,3,0,3
R0000011,Toad-in-the-Hole,5,0,5
R0000012,Pork & apple sauce,11,0,11
R0000013,Victoria Sponge Cake,5,0,5
R0000014,Shephard's Pie,12,0,12
R0000015,Cumberland sausage,9,0,9
R0000016,Cottage Pie,14,0,14
R0000017,Pork Pie,6,0,6
R0000018,Eton Mess,3,0,3
R000002,Black Peas,11,0,11
R0000020,Crumpets,14,0,14
R0000021,Piccalilli,9,0,9
R0000022,Berry Trifle,14,0,14
R0000023,Slotty Clake,8,0,8
R0000024,Boiled ham with pease pudding,4,0,4
R0000025,British Scones,15,0,15
R0000026,Mushy Peas,3,0,3
R0000027,Lancashire Hot Pot,4,0,4
R0000028,Cawl (Traditional Welsh Broth),6,0,6
R0000029,Eccles Cakes,9,0,9
R000003,Bangers and mash,6,0,6
R0000030,Steak and Kidney Pie with Bacon and Mushrooms,12,0,12
R0000031,Lamb Cobbler,3,0,3
R0000032,Sticky toffee pudding,12,1,13
R0000033,Summer Pudding,8,0,8
R0000034,Pound Cake,10,0,10
R0000035,Roast beef with caramelised onion gravy,6,0,6
R0000036,Roast lamb with spring herb crumbs,10,0,10
R0000037,Full English breakfast,12,0,12
R0000038,Lemon syllabub,9,0,9
R0000039,Treacle Tart,4,0,4
R000004,Bubble and Squeak,8,0,8
R0000040,Potted Shrimps,5,0,5
R0000041,Scouse,6,0,6
R0000042,Mince pies,4,0,4
R0000043,Queen Of Puddings,14,1,15
R0000044,Beef Pasties,7,0,7
R0000045,Steamed Lemon Pudding with Treacle Sauce,8,0,8
R0000046,Spotted dick with lemon syrup,8,0,8
R0000047,Fifteens,4,0,4
R0000048,Plain Madeira Cake,5,0,5
R0000049,Classic bread and butter pudding,6,0,6
R000005,Fish and Chips,7,0,7
R0000050,Swiss Roll ,4,0,4
R0000051,Liver and Onions,9,1,10
R0000052,wild rabbit stew,8,1,9
R0000053,bath buns,7,0,7
R0000054,Chocolate battenberg,9,0,9
R0000055,Potted crab with asparagus,8,0,8
R0000056,branbury cakes,10,0,10
R0000057,brown shrimps on toast,4,0,4
R0000058,cambridge burnt cream,4,0,4
R0000059,Wholegrain mustard,5,0,5
R000006,Welsh Rarebit,8,1,9
R0000060,onion gravy,6,0,6
R0000061,Beef trencher,9,0,9
R0000062,Pea and ham soup,6,0,6
R0000063,Apple Crumble,4,0,4
R0000064,Turkey Wellingtons,7,0,7
R0000065,British simnel cakes,11,0,11
R0000066,Easy Devonshire Cream,2,0,2
R0000067,Irish Bacon and Cabbage Soup,5,0,5
R0000068,Langoustines with lemon & pepper butter,7,0,7
R0000069,Eggs Benedict,11,0,11
R000007,Yorkshire Pudding,4,0,4
R0000070,Simple soda bread,5,0,5
R0000071,Chicken in a pot,11,0,11
R0000072,Vanilla Pudding,6,0,6
R0000073,Tarragon Chicken Salad Tea Sandwiches,7,0,7
R0000074,Prosecco jelly,5,4,9
R0000075,Whitebait & dill mayo,6,0,6
R0000076,"Sliced fennel, orange & almond salad",7,0,7
R0000077,Watermelon & feta salad,5,0,5
R0000078,Mini vegan doughnuts,6,0,6
R0000079,citrus shortbread,5,0,5
R000008,Banoffee Pie,5,0,5
R0000080,Potato Candy,5,0,5
R0000081,PassionFruit Melting Moments,1,2,3
R0000082,Winter pea & bean braise,8,0,8
R0000083,Chicken wellingtons with creamy pea sauce,7,0,7
R0000084,Spiced raisin rice pudding,5,0,5
R0000085,Pumpkin and prosciutto lasagne,5,0,5
R0000086,Potato Crisps,2,0,2
R0000087,Bacon and cheese nachos,9,0,9
R0000088,Colcannon,7,0,7
R0000089,whole roasted pheasant,8,0,8
R000009,Battenburg Cake,12,0,12
R0000090,Beef & barley bun with horseradish,17,0,17
R0000091,Cock a Leekie Soup,5,1,6
R0000092,British roots,8,0,8
R0000093,Posh beans toast,10,0,10
R0000094,"Sweet potato hash brown with tomato, bacon and egg",8,0,8
R0000095,Leek & potato soup with blue cheese toast,10,0,10
R0000096,Corned beef with parsley sauce,15,0,15
R0000097,Apple and butterscotch sponge pudding,9,0,9
R0000098,Creamed spinach,5,0,5
R0000099,Baked rice pudding,8,0,8
