Recipe ID,Recipe Name,shared_molecule_Compound_ID
R000001,Chicken Tikka Masala,384
R000001,Chicken Tikka Masala,34
R000001,Chicken Tikka Masala,645
R000001,Chicken Tikka Masala,586
R000001,Chicken Tikka Masala,235
R000001,Chicken Tikka Masala,556
R000001,Chicken Tikka Masala,786
R000001,Chicken Tikka Masala,338
R000001,Chicken Tikka Masala,761
R000001,Chicken Tikka Masala,90
R000001,Chicken Tikka Masala,798
R000001,Chicken Tikka Masala,703
R000002,Black Peas,384
R000002,Black Peas,645
R000002,Black Peas,586
R000002,Black Peas,235
R000002,Black Peas,556
R000002,Black Peas,786
R000002,Black Peas,338
R000002,Black Peas,761
R000002,Black Peas,798
R000002,Black Peas,703
R000003,Bangers and mash,384
R000003,Bangers and mash,645
R000003,Bangers and mash,586
R000003,Bangers and mash,235
R000003,Bangers and mash,556
R000003,Bangers and mash,786
R000003,Bangers and mash,338
R000003,Bangers and mash,761
R000003,Bangers and mash,798
R000003,Bangers and mash,703
R000004,Bubble and Squeak,384
R000004,Bubble and Squeak,645
R000004,Bubble and Squeak,586
R000004,Bubble and Squeak,235
R000004,Bubble and Squeak,556
R000004,Bubble and Squeak,786
R000004,Bubble and Squeak,761
R000004,Bubble and Squeak,90
R000004,Bubble and Squeak,798
R000004,Bubble and Squeak,703
R000005,Fish and Chips,384
R000005,Fish and Chips,645
R000005,Fish and Chips,586
R000005,Fish and Chips,556
R000005,Fish and Chips,786
R000005,Fish and Chips,338
R000005,Fish and Chips,90
R000005,Fish and Chips,798
R000005,Fish and Chips,703
R000006,Welsh Rarebit,384
R000006,Welsh Rarebit,645
R000006,Welsh Rarebit,556
R000006,Welsh Rarebit,786
R000006,Welsh Rarebit,338
R000006,Welsh Rarebit,761
R000006,Welsh Rarebit,798
R000007,Yorkshire Pudding,645
R000007,Yorkshire Pudding,556
R000007,Yorkshire Pudding,786
R000007,Yorkshire Pudding,338
R000007,Yorkshire Pudding,90
R000007,Yorkshire Pudding,798
R000008,Banoffee Pie,645
R000008,Banoffee Pie,586
R000008,Banoffee Pie,235
R000008,Banoffee Pie,556
R000008,Banoffee Pie,338
R000008,Banoffee Pie,786
R000008,Banoffee Pie,761
R000008,Banoffee Pie,798
R000009,Battenburg Cake,384
R000009,Battenburg Cake,645
R000009,Battenburg Cake,586
R000009,Battenburg Cake,235
R000009,Battenburg Cake,556
R000009,Battenburg Cake,786
R000009,Battenburg Cake,338
R000009,Battenburg Cake,761
R000009,Battenburg Cake,90
R000009,Battenburg Cake,798
R000009,Battenburg Cake,703
R0000010,Bread and Butter Pudding,645
R0000010,Bread and Butter Pudding,586
R0000010,Bread and Butter Pudding,235
R0000010,Bread and Butter Pudding,556
R0000010,Bread and Butter Pudding,786
R0000010,Bread and Butter Pudding,338
R0000010,Bread and Butter Pudding,630
R0000010,Bread and Butter Pudding,761
R0000010,Bread and Butter Pudding,90
R0000010,Bread and Butter Pudding,798
R0000010,Bread and Butter Pudding,703
R0000011,Toad-in-the-Hole,645
R0000011,Toad-in-the-Hole,556
R0000011,Toad-in-the-Hole,786
R0000011,Toad-in-the-Hole,338
R0000011,Toad-in-the-Hole,90
R0000011,Toad-in-the-Hole,798
R0000012,Pork & apple sauce,384
R0000012,Pork & apple sauce,645
R0000012,Pork & apple sauce,586
R0000012,Pork & apple sauce,235
R0000012,Pork & apple sauce,786
R0000012,Pork & apple sauce,338
R0000012,Pork & apple sauce,630
R0000012,Pork & apple sauce,761
R0000012,Pork & apple sauce,90
R0000012,Pork & apple sauce,798
R0000012,Pork & apple sauce,703
R0000013,Victoria Sponge Cake,645
R0000013,Victoria Sponge Cake,556
R0000013,Victoria Sponge Cake,786
R0000013,Victoria Sponge Cake,338
R0000013,Victoria Sponge Cake,761
R0000013,Victoria Sponge Cake,90
R0000013,Victoria Sponge Cake,798
R0000014,Shephard's Pie,384
R0000014,Shephard's Pie,645
R0000014,Shephard's Pie,586
R0000014,Shephard's Pie,235
R0000014,Shephard's Pie,556
R0000014,Shephard's Pie,786
R0000014,Shephard's Pie,338
R0000014,Shephard's Pie,761
R0000014,Shephard's Pie,798
R0000014,Shephard's Pie,703
R0000015,Cumberland sausage,384
R0000015,Cumberland sausage,34
R0000015,Cumberland sausage,645
R0000015,Cumberland sausage,586
R0000015,Cumberland sausage,235
R0000015,Cumberland sausage,556
R0000015,Cumberland sausage,786
R0000015,Cumberland sausage,338
