Recipe ID 1,Recipe ID 2,No_of_shared_compounds
R000001,R000002,220
R000001,R000003,276
R000001,R000004,238
R000001,R000005,190
R000001,R000006,239
R000001,R000007,189
R000001,R000008,245
R000001,R000009,281
R000001,R0000010,251
R000001,R0000011,145
R000001,R0000012,248
R000001,R0000013,184
R000001,R0000014,253
R000001,R0000015,283
R000001,R0000016,292
R000001,R0000017,222
R000001,R0000018,147
R000001,R0000020,296
R000001,R0000021,254
R000001,R0000022,276
R000001,R0000023,181
R000001,R0000024,175
R000001,R0000025,265
R000001,R0000026,175
R000001,R0000027,204
R000001,R0000028,201
R000001,R0000029,233
R000001,R0000030,311
R000001,R0000031,170
R000001,R0000032,283
R000001,R0000033,211
R000001,R0000034,202
R000001,R0000035,218
R000001,R0000036,218
R000001,R0000037,180
R000001,R0000038,265
R000001,R0000039,198
R000001,R0000040,143
R000001,R0000041,290
R000001,R0000042,228
R000001,R0000043,336
R000001,R0000044,234
R000001,R0000045,247
R000001,R0000046,267
R000001,R0000047,146
R000001,R0000048,175
R000001,R0000049,233
R000001,R0000050,159
R000001,R0000051,290
R000001,R0000052,229
R000001,R0000053,187
R000001,R0000054,265
R000001,R0000055,232
R000001,R0000056,257
R000001,R0000057,153
R000001,R0000058,126
R000001,R0000059,62
R000001,R0000060,273
R000001,R0000061,252
R000001,R0000062,118
R000001,R0000063,156
R000001,R0000064,238
R000001,R0000065,288
R000001,R0000066,110
R000001,R0000067,216
R000001,R0000068,274
R000001,R0000069,287
R000001,R0000070,69
R000001,R0000071,274
R000001,R0000072,219
R000001,R0000073,229
R000001,R0000074,236
R000001,R0000075,143
R000001,R0000076,167
R000001,R0000077,171
R000001,R0000078,271
R000001,R0000079,219
R000001,R0000080,226
R000001,R0000081,141
R000001,R0000082,289
R000001,R0000083,250
R000001,R0000084,217
R000001,R0000085,94
R000001,R0000086,115
R000001,R0000087,315
R000001,R0000088,250
R000001,R0000089,276
R000001,R0000090,308
R000001,R0000091,180
R000001,R0000092,224
R000001,R0000093,290
R000001,R0000094,310
R000001,R0000095,253
R000001,R0000096,282
R000001,R0000097,223
R000001,R0000098,129
R000001,R0000099,195
R000001,R00000100,168
R000002,R000003,209
R000002,R000004,183
R000002,R000005,143
R000002,R000006,159
R000002,R000007,140
R000002,R000008,139
R000002,R000009,158
R000002,R0000010,148
R000002,R0000011,101
R000002,R0000012,150
R000002,R0000013,114
R000002,R0000014,179
R000002,R0000015,182
R000002,R0000016,201
R000002,R0000017,175
R000002,R0000018,100
R000002,R0000020,230
R000002,R0000021,147
R000002,R0000022,172
R000002,R0000023,112
R000002,R0000024,108
R000002,R0000025,197
R000002,R0000026,145
R000002,R0000027,136
R000002,R0000028,147
R000002,R0000029,205
R000002,R0000030,222
R000002,R0000031,100
R000002,R0000032,202
R000002,R0000033,118
R000002,R0000034,127
R000002,R0000035,119
R000002,R0000036,192
R000002,R0000037,147
R000002,R0000038,143
R000002,R0000039,119
R000002,R0000040,93
R000002,R0000041,177
R000002,R0000042,133
R000002,R0000043,222
R000002,R0000044,140
R000002,R0000045,146
R000002,R0000046,152
R000002,R0000047,93
R000002,R0000048,106
R000002,R0000049,148
R000002,R0000050,105
R000002,R0000051,186
R000002,R0000052,170
R000002,R0000053,116
R000002,R0000054,165
R000002,R0000055,135
R000002,R0000056,152
R000002,R0000057,91
R000002,R0000058,89
R000002,R0000059,44
R000002,R0000060,199
R000002,R0000061,191
R000002,R0000062,118
R000002,R0000063,94
R000002,R0000064,164
R000002,R0000065,166
R000002,R0000066,77
R000002,R0000067,141
R000002,R0000068,166
R000002,R0000069,185
R000002,R0000070,53
R000002,R0000071,207
R000002,R0000072,137
R000002,R0000073,188
R000002,R0000074,142
R000002,R0000075,87
R000002,R0000076,99
R000002,R0000077,134
R000002,R0000078,170
R000002,R0000079,117
R000002,R0000080,127
R000002,R0000081,80
R000002,R0000082,209
R000002,R0000083,173
R000002,R0000084,151
R000002,R0000085,73
R000002,R0000086,99
R000002,R0000087,222
R000002,R0000088,189
R000002,R0000089,202
R000002,R0000090,214
R000002,R0000091,197
R000002,R0000092,145
R000002,R0000093,176
R000002,R0000094,176
R000002,R0000095,212
R000002,R0000096,213
R000002,R0000097,129
R000002,R0000098,96
R000002,R0000099,129
R000002,R00000100,102
R000003,R000004,264
R000003,R000005,214
R000003,R000006,243
R000003,R000007,245
R000003,R000008,221
R000003,R000009,239
R000003,R0000010,229
R000003,R0000011,154
R000003,R0000012,186
R000003,R0000013,197
R000003,R0000014,268
R000003,R0000015,228
R000003,R0000016,327
R000003,R0000017,269
R000003,R0000018,126
R000003,R0000020,244
R000003,R0000021,223
R000003,R0000022,202
R000003,R0000023,140
R000003,R0000024,188
R000003,R0000025,272
R000003,R0000026,187
R000003,R0000027,204
R000003,R0000028,231
R000003,R0000029,292
R000003,R0000030,351
R000003,R0000031,167
R000003,R0000032,285
R000003,R0000033,186
R000003,R0000034,164
R000003,R0000035,189
R000003,R0000036,272
R000003,R0000037,161
R000003,R0000038,193
R000003,R0000039,157
R000003,R0000040,113
R000003,R0000041,244
R000003,R0000042,213
R000003,R0000043,305
R000003,R0000044,208
R000003,R0000045,225
R000003,R0000046,224
R000003,R0000047,144
R000003,R0000048,174
R000003,R0000049,229
R000003,R0000050,142
R000003,R0000051,261
R000003,R0000052,289
R000003,R0000053,199
R000003,R0000054,256
R000003,R0000055,192
R000003,R0000056,198
R000003,R0000057,157
R000003,R0000058,139
R000003,R0000059,58
R000003,R0000060,256
R000003,R0000061,278
R000003,R0000062,132
R000003,R0000063,158
R000003,R0000064,222
R000003,R0000065,238
R000003,R0000066,106
R000003,R0000067,188
R000003,R0000068,237
R000003,R0000069,258
R000003,R0000070,72
R000003,R0000071,238
R000003,R0000072,218
R000003,R0000073,211
R000003,R0000074,184
R000003,R0000075,105
R000003,R0000076,126
R000003,R0000077,174
R000003,R0000078,234
R000003,R0000079,180
R000003,R0000080,196
R000003,R0000081,140
R000003,R0000082,261
R000003,R0000083,244
R000003,R0000084,168
R000003,R0000085,86
R000003,R0000086,126
R000003,R0000087,308
