	Index	ALogP	ALogP_MR	Estate_AtomTypes	Estate_AtomValues	Estate_Counts	Estate_Keys	Estate_NumUnknown	Apol	Molecular_Weight	Num_AromaticRings	Num_Atoms	Num_H_Acceptors	Num_H_Donors	Num_Rings	Num_RotatableBonds	Taste	NumChiralCenters
0	0.0	2.126	107.889	"6
35
16
11
11
17
28
11
11
16
12
33
12
8
12
8
8
29
8
12
10
7
17
11
33
52
34
34
33"	"1.661
5.349
0.792
1.908
1.949
0.895
4.424
1.788
1.945
0.95
-0.504
11.151
0.177
1.033
0.647
1.213
1.072
2.433
1.016
0.566
2.089
3.979
0.979
1.976
7.048
-4.667
8.743
8.743
7.048"	"0
0
0
0
0
0
1
1
4
0
1
5
4
0
0
0
2
2
0
0
0
0
0
0
0
0
0
0
1
1
0
0
0
3
2
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	"0
0
0
0
0
0
1.661
3.979
4.335
0
2.089
9.568
0.887
0
0
0
1.743
1.874
0
0
0
0
0
0
0
0
0
0
4.424
2.433
0
0
0
25.249
17.486
5.349
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
-4.667
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	0.0	13059.2	422.495	2.0	29.0	8.0	3.0	5.0	4.0	Bitter	5
1	1.0	1.173	92.594	"6
35
16
11
11
17
28
11
11
16
12
-1
33
12
-1
8
12
-1
8
8
26
-1
8
12
-1
10
7
17
11"	"1.665
5.354
0.799
1.914
1.956
0.904
4.431
1.797
1.958
0.971
-0.467
0
11.172
0.26
0
1.07
0.668
0
1.25
1.155
1.516
0
1.099
0.603
0
2.11
3.993
0.992
1.985"	"0
0
0
0
0
0
1
1
4
0
1
5
4
0
0
0
2
2
0
0
0
0
0
0
0
0
1
0
1
0
0
0
0
1
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	"0
0
0
0
0
0
1.665
3.993
4.575
0
2.11
9.611
1.066
0
0
0
1.771
1.897
0
0
0
0
0
0
0
0
1.516
0
4.431
0
0
0
0
11.172
0
5.354
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	0.0	13111.4	325.425	2.0	24.0	3.0	2.0	5.0	4.0	Bitter	5
2	2.0	2.733	94.69200000000001	"6
35
16
11
11
17
28
11
11
16
12
-1
33
12
-1
8
12
8
8
29
8
12
-1
10
7
17
11"	"1.661
5.349
0.792
1.908
1.949
0.895
4.424
1.788
1.945
0.95
-0.504
0
11.151
0.177
0
1.033
0.647
1.213
1.072
2.433
1.016
0.566
0
2.089
3.979
0.979
1.976"	"0
0
0
0
0
0
1
1
4
0
1
5
4
0
0
0
2
2
0
0
0
0
0
0
0
0
0
0
1
1
0
0
0
1
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	"0
0
0
0
0
0
1.661
3.979
4.335
0
2.089
9.568
0.887
0
0
0
1.743
1.874
0
0
0
0
0
0
0
0
0
0
4.424
2.433
0
0
0
11.151
0
5.349
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	0.0	13059.2	324.41700000000003	2.0	24.0	4.0	1.0	5.0	4.0	Bitter	2
3	3.0	3.8710000000000004	84.96799999999999	"6
29
6
8
8
35
12
16
11
11
11
11
11
16
11
11
11
11
16
6"	"2.064
2.138
2.064
0.925
0.723
6.164
1.1e-002
1.208
2.131
2.065
2.039
2.065
2.131
1.247
2.155
2.076
2.07
2.139
1.269
2.139"	"0
0
0
0
0
0
3
0
2
0
0
9
1
0
0
0
3
0
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	"0
0
0
0
0
0
6.267
0
1.648
0
0
18.876
1.1e-002
0
0
0
3.726
0
0
0
0
0
0
0
0
0
0
0
0
2.138
0
0
0
0
0
6.164
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	0.0	11763.8	269.381	2.0	20.0	2.0	0.0	2.0	6.0	Bitter	10
4	4.0	2.296	44.54600000000001	"6
8
8
8
8
15
10
8
15
34
35"	"2.161
1.209
1.217
1.134
0.93
0.878
1.886
0.473
-0.101
10.611
4.93"	"0
0
0
0
0
0
1
0
5
0
1
0
0
0
0
2
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	"0
0
0
0
0
0
2.161
0
4.965
0
1.886
0
0
0
0
0.777
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
10.611
4.93
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	0.0	5732.92	154.20600000000002	0.0	11.0	2.0	0.0	1.0	4.0	Bitter	0
5	5.0	3.39	52.298	"11
11
11
16
11
11
35
16
11
11
11
11
11"	"1.97
1.956
1.937
0.869
1.937
1.956
5.578
0.869
1.937
1.956
1.97
1.956
1.937"	"0
0
0
0
0
0
0
0
0
0
0
10
0
0
0
0
2
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	"0
0
0
0
0
0
0
0
0
0
0
19.516
0
0
0
0
1.738
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
5.578
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	0.0	8251.0	170.207	2.0	13.0	1.0	0.0	2.0	2.0	Bitter	0
6	6.0	2.935	45.088	"6
8
8
8
35
15
34
12
6
8
6"	"2.08
1.077
0.974
0.583
4.996
-5.5e-002
11.026
6.1e-002
1.897
0.866
1.991"	"0
0
0
0
0
0
3
0
4
0
0
0
1
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	"0
0
0
0
0
0
5.969
0
3.5
0
0
0
6.1e-002
0
0
-5.5e-002
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
11.026
4.996
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	0.0	5559.04	158.238	0.0	11.0	2.0	0.0	0.0	6.0	Bitter	0
7	7.0	1.386	32.19	"6
8
10
10
8
15
34
33"	"1.97
0.909
1.841
1.655
0.146
-0.769
9.822
8.088"	"0
0
0
0
0
0
1
0
2
0
2
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	"0
0
0
0
0
0
1.97
0
1.056
0
3.496
0
0
0
0
-0.769
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
8.088
9.822
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	0.0	4333.9	114.14200000000001	0.0	8.0	2.0	1.0	0.0	3.0	Bitter	2
8	8.0	1.954	52.321999999999996	"6
8
35
15
34
8
15
34
16
11
11
11
11
11"	"1.713
0.306
4.674
-0.471
10.983
-0.183
-0.205
11.429
0.542
1.682
1.762
1.82
1.762
1.682"	"0
0
0
0
0
0
1
0
2
0
0
5
0
0
0
2
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	"0
0
0
0
0
0
1.713
0
0.123
0
0
8.709
0
0
0
-0.676
0.542
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
22.412
4.674
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	0.0	7842.86	192.21099999999998	1.0	14.0	3.0	0.0	1.0	5.0	Bitter	1
9	9.0	3.385	49.715	"6
8
8
8
8
15
34
35
8
8
8
6"	"2.127
1.154
1.127
0.973
0.594
-3.1e-002
10.97
4.99
0.598
0.985
1.085
2.088"	"0
0
0
0
0
0
2
0
7
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	"0
0
0
0
0
0
4.215
0
6.521
0
0
0
0
0
0
-3.1e-002
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
10.97
4.99
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	0.0	6072.3	172.265	0.0	12.0	2.0	0.0	0.0	8.0	Bitter	1
