Structure,Name,source file,MW,AlogP,RB,PSA,Estate,MR,Polar,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,#NandO,RuleOfFive,RuleOfThree,#ringatoms,#in34,#in56,#noncon,#nonHatm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Num aromatic rings,,Num chiral centers,Num heavy atoms,,,,,,Num rings,,,,,Total charge
,Bitter 0,bitterpredict.maegz,324.4168,2.7338,4,47.265,49.5,94.6926,41.873,0,1,0,0,0,5,0,1,565.98,284.465,66.862,214.653,0,1044.733,1,5.45,0.0066505,0.0096293,0.8797672,34.496,10.238,15.51,8.726,3.412,-3.227,-3.218,-5.227,573.779,0.085,300.235,-3.578,8.91,1.023,4,0.214,3,96.301,0,0,4,0,0,18,0,18,7,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4,24,,,,,,4,,,,,0
,Bitter 1,bitterpredict.maegz,325.4247,1.1731,4,46.853,49.167,92.5946,42.26,0,1,0,0,0,5,0,1,581.445,306.953,63.255,211.237,0,1062.262,1,5.45,0.0321359,0.0093732,0.8659196,35.165,10.303,16.031,8.715,3.435,-3.293,-3.218,-5.435,620.803,0.098,326.917,-3.524,8.659,0.759,4,0.253,3,100,0,0,4,0,0,18,0,18,7,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,5,24,,,,,,4,,,,,1
,Bitter 2,bitterpredict.maegz,362.4599,3.3024,7,107.188,69.085,103.9931,39.491,1,0,0,0,0,9,0,-2,654.503,500.401,142.49,11.612,0,1220.342,1,6.5,0.0232384,0.0099312,0.8438035,37.016,10.867,17.038,8.224,3.259,-4.343,-4.22,-4.115,441.232,-1.313,204.304,-3.241,9.71,0.731,10,0.286,1,93.363,0,0,5,0,1,6,0,6,2,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2,26,,,,,,1,,,,,0
,Bitter 3,bitterpredict.maegz,324.4168,2.7338,4,47.265,49.5,94.6926,41.873,0,1,0,0,0,5,0,1,565.98,284.465,66.862,214.653,0,1044.733,1,5.45,0.0066505,0.0096293,0.8797672,34.496,10.238,15.51,8.726,3.412,-3.227,-3.218,-5.227,573.779,0.085,300.235,-3.578,8.91,1.023,4,0.214,3,96.301,0,0,4,0,0,18,0,18,7,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4,24,,,,,,4,,,,,0
,Bitter 4,bitterpredict.maegz,106.1219,1.5894,1,17.07,20.667,32.649,15.619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,8,,,,,,1,,,,,0
,Bitter 5,bitterpredict.maegz,96.0626,-2.0134,0,88.162,32.917,8.6416,4.386,9,0,0,2,0,2,0,-2,216.927,0,215.505,0,1.422,282.949,2,4,0.1039271,0.0260772,0.9608503,3.885,2.77,7.384,8.135,-0.705,0.309,-0.304,1.45,5.747,-1.11,3.085,-5.299,11.397,-0.033,0,-1.276,2,36.412,0,0,4,0,1,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,5,,,,,,0,,,,,-2
,Bitter 6,bitterpredict.maegz,414.5775,5.9428,9,77.662,71.586,128.0325,48.196,2,0,0,0,0,11,0,-1,817.153,708.311,78.151,30.691,0,1498.263,1,4.5,0.0401349,0.0055069,0.7749138,47.036,13.297,19.135,5.897,6.318,-7.704,-6.145,-5.32,1798.012,-0.967,932.719,-1.796,9.16,0.743,12,1.351,1,100,0,0,4,1,2,6,0,6,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,30,,,,,,1,,,,,0
,Bitter 7,bitterpredict.maegz,152.2334,2.3572,0,23.947,23,44.5438,17.662,3,0,0,0,0,0,0,1,369.997,337.558,32.438,0,0,609.024,0,2,0.0226482,0,0.9391254,18.219,4.468,6.395,2.8,2.07,-2.037,-1.409,-2.517,4878.541,0.318,2743.531,-2.117,10.128,-0.812,0,-0.149,3,100,0,0,1,0,0,7,0,7,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2,11,,,,,,2,,,,,0
,Bitter 8,bitterpredict.maegz,362.4599,3.42,7,101.742,68.419,105.7295,39.85,1,0,0,0,0,10,0,-2,619.921,476.509,126.016,17.396,0,1210.613,2,5.25,0.0432056,0.0119767,0.8861338,36.04,10.99,17.794,8.081,3.716,-3.982,-4.721,-3.457,632.258,-1.109,301.398,-2.821,9.251,0.88,10,0.453,1,100,0,0,5,0,1,6,0,6,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,26,,,,,,1,,,,,0
,Bitter 9,bitterpredict.maegz,212.2439,2.6168,3,45.298,39.334,62.5209,31.015,0,0,0,0,0,4,0,0,457.642,8.244,70.026,379.372,0,754.351,1,3.7,0.0047971,0.0080849,0.8756992,25.09,8.588,11.474,8.104,2.502,-2.708,-2.805,-5.353,2147.054,-0.286,1129.882,-1.09,9.682,0.53,2,-0.186,3,100,0,0,2,0,0,12,0,12,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,16,,,,,,2,,,,,0
